epoch,accuracy,loss,val_accuracy,val_loss
0,0.7710000276565552,0.6506327986717224,0.831250011920929,0.38758063316345215
1,0.8525000214576721,0.3804832100868225,0.8837500214576721,0.2857646942138672
2,0.8840000033378601,0.3079304099082947,0.9075000286102295,0.26312094926834106
3,0.8960000276565552,0.2947235405445099,0.8512499928474426,0.34770405292510986
4,0.9164999723434448,0.22787001729011536,0.7962499856948853,0.7322126626968384
5,0.925000011920929,0.21373140811920166,0.8949999809265137,0.3229149580001831
6,0.9294999837875366,0.20554567873477936,0.8962500095367432,0.3613246977329254
7,0.9309999942779541,0.18152765929698944,0.9024999737739563,0.3509407043457031
8,0.9424999952316284,0.15667767822742462,0.8999999761581421,0.3786175847053528
9,0.949999988079071,0.1486523151397705,0.9037500023841858,0.4187563359737396
